entry,sym,structure,prem,K,spot0,spot_exp,ret
2023-07-28,HCLTECH,CALLSPREAD,18.4,1110.0,1110.45,1172.65,2.1903642773207994
2023-07-28,GODREJCP,CALLSPREAD,16.450000000000003,1050.0,1045.5,1005.6,-1.0
2023-09-01,NAUKRI,CALLSPREAD,73.6,4400.0,4401.95,4182.5,-1.0
2023-09-01,TORNTPHARM,CALLSPREAD,31.2,1800.0,1799.45,1865.3,1.0717543005517678
2023-09-01,INDIGO,CALLSPREAD,44.85,2440.0,2448.3,2343.55,-1.0
2023-09-29,PFC,CALLSPREAD,4.699999999999999,254.0,253.55,230.5,-1.0
2023-09-29,GODREJPROP,CALLSPREAD,29.849999999999998,1560.0,1564.5,1576.05,-0.4683248488481565
2023-09-29,ASHOKLEY,CALLSPREAD,2.7,178.0,177.65,166.2,-1.0
2023-10-27,PNB,CALLSPREAD,1.55,73.0,73.45,77.55,1.4345709068776624
2023-10-27,BANKBARODA,CALLSPREAD,3.5999999999999996,197.5,197.75,197.05,-1.0
2023-10-27,MPHASIS,CALLSPREAD,41.25,2120.0,2129.35,2358.7,1.8802880288028803
2023-10-27,TATAPOWER,CALLSPREAD,3.3,240.0,239.1,268.05,1.8587764436821044
2023-10-27,IDFCFIRSTB,CALLSPREAD,1.4,87.0,86.65,85.0,-1.0
2023-12-01,CIPLA,CALLSPREAD,19.4,1210.0,1210.9,1261.45,1.6007316262055231
2023-12-01,CHOLAFIN,CALLSPREAD,19.450000000000003,1140.0,1136.05,1239.0,2.025887053198631
2023-12-01,BALKRISIND,CALLSPREAD,40.75,2580.0,2579.4,2527.15,-1.0
2023-12-01,BAJFINANCE,CALLSPREAD,114.85,7300.0,7303.15,7268.75,-1.0
2023-12-29,ASHOKLEY,CALLSPREAD,5.800000000000001,183.0,183.15,169.65,-1.0
2023-12-29,HDFCLIFE,CALLSPREAD,12.4,650.0,652.4,579.15,-1.0
2023-12-29,DRREDDY,CALLSPREAD,84.5,5850.0,5834.2,5840.45,-1.0
2024-01-29,MUTHOOTFIN,CALLSPREAD,25.250000000000004,1400.0,1399.75,1306.9,-1.0
2024-01-29,IDFCFIRSTB,CALLSPREAD,1.45,83.0,83.15,81.1,-1.0
2024-01-29,MPHASIS,CALLSPREAD,55.3,2580.0,2587.95,2617.15,-0.3348611533847762
2024-01-29,FEDERALBNK,CALLSPREAD,2.7,146.0,146.2,150.5,0.5723270440251569
2024-01-29,HINDALCO,CALLSPREAD,11.600000000000001,570.0,572.35,503.05,-1.0
2024-03-01,HINDALCO,CALLSPREAD,9.15,520.0,521.25,560.25,1.647738155596868
2024-03-01,RECLTD,CALLSPREAD,7.749999999999998,460.0,459.9,450.75,-1.0
2024-03-01,PFC,CALLSPREAD,7.749999999999998,415.0,415.85,390.5,-1.0
2024-03-01,APOLLOHOSP,CALLSPREAD,128.5,6100.0,6123.15,6360.0,1.0033131717841046
2024-04-01,NMDC,CALLSPREAD,4.6000000000000005,212.5,213.65,252.8,1.409762100082034
