entry,sym,structure,prem,K,spot0,spot_exp,ret
2022-07-29,MARUTI,ATM,242.95,8800.0,8772.15,8728.55,-1.0
2022-07-29,RELIANCE,ATM,70.7,2520.0,2517.55,2632.45,0.5747755822258297
2022-08-26,SUNPHARMA,ATM,26.15,890.0,886.7,931.1,0.536448598130842
2022-08-26,HEROMOTOCO,ATM,92.85,2850.0,2841.15,2540.4,-1.0
2022-08-26,TATACONSUM,ATM,27.0,810.0,807.55,793.15,-1.0
2022-09-30,CHOLAFIN,ATM,30.25,730.0,734.65,717.3,-1.0
2022-09-30,ASHOKLEY,ATM,7.15,152.5,153.65,147.8,-1.0
2022-09-30,ABB,ATM,127.7,3100.0,3105.65,3045.2,-1.0
2022-09-30,SIEMENS,ATM,160.25,2780.0,2781.55,2880.95,-0.37628396224958016
2022-10-28,ADANIENT,ATM,120.7,3350.0,3340.85,3911.1,3.6026889350078326
2022-10-28,BAJFINANCE,ATM,263.8,7000.0,7046.0,6775.9,-1.0
2022-10-28,GODREJCP,ATM,28.0,830.0,834.3,863.1,0.15734265734265823
2022-10-28,TATACONSUM,ATM,18.0,770.0,765.8,793.55,0.26612903225806195
2022-11-25,COALINDIA,ATM,7.1,232.5,233.4,221.85,-1.0
2022-11-25,EICHERMOT,ATM,104.35,3450.0,3435.5,3263.35,-1.0
2022-11-25,ZYDUSLIFE,ATM,12.3,405.0,404.95,416.1,-0.13953488372092862
2022-11-25,POLYCAB,ATM,68.75,2600.0,2576.2,2570.4,-1.0
2022-12-30,AMBUJACEM,ATM,18.65,530.0,527.8,458.65,-1.0
2022-12-30,ADANIPORTS,ATM,29.95,820.0,823.65,712.6,-1.0
2022-12-30,DLF,ATM,13.6,375.0,377.25,352.1,-1.0
2022-12-30,TRENT,ATM,43.9,1360.0,1356.2,1211.55,-1.0
2022-12-30,ABB,ATM,80.05,2700.0,2701.9,2871.1,1.1162516001756317
2023-01-27,PNB,ATM,3.3,51.0,51.2,48.25,-1.0
2023-01-27,BANKBARODA,ATM,8.7,157.5,158.25,155.5,-1.0
2023-01-27,BHEL,ATM,3.45,74.0,73.55,68.85,-1.0
2023-01-27,INDUSINDBK,ATM,47.2,1120.0,1124.6,1074.15,-1.0
2023-02-24,BANKBARODA,ATM,6.25,155.0,155.3,164.55,0.4415094339622659
2023-02-24,PNB,ATM,2.0,48.0,47.85,46.2,-1.0
2023-02-24,BHEL,ATM,2.65,69.0,68.9,70.25,-0.55500177999288
2023-02-24,RECLTD,ATM,2.85,113.75,113.5,115.55,-0.4041708043694151
2023-02-24,SAIL,ATM,3.25,83.0,83.35,82.55,-1.0
2023-04-28,HCLTECH,ATM,20.65,1070.0,1067.7,1115.75,1.1529411764705881
2023-04-28,GODREJCP,ATM,26.7,910.0,912.55,1028.2,3.329670329670331
2023-04-28,NTPC,ATM,3.45,172.5,172.7,174.7,-0.39841400054689957
2023-05-26,PNB,ATM,1.9,50.0,50.15,50.9,-0.5531281032770612
2023-05-26,JINDALSTEL,ATM,19.85,520.0,524.3,581.15,1.990220048899754
2023-05-26,DRREDDY,ATM,101.25,4550.0,4562.6,5020.35,3.5994377215499362
2023-05-26,LT,ATM,44.7,2240.0,2230.15,2391.8,2.350993377483447
2023-06-30,BANDHANBNK,ATM,10.25,242.5,243.4,216.4,-1.0
2023-06-30,PERSISTENT,ATM,188.95,5000.0,5023.3,4717.65,-1.0
2023-06-30,MARICO,ATM,12.65,535.0,533.5,554.8,0.494339622641506
2023-06-30,AUBANK,ATM,26.5,750.0,752.4,730.35,-1.0
2023-07-28,PERSISTENT,ATM,160.6,4750.0,4733.65,5369.2,2.8173680381736794
2023-07-28,AUBANK,ATM,22.05,730.0,725.55,722.75,-1.0
2023-07-28,HCLTECH,ATM,27.15,1110.0,1110.45,1172.65,1.257657657657661
2023-07-28,GODREJCP,ATM,28.55,1050.0,1045.5,1005.6,-1.0
2023-09-01,NAUKRI,ATM,151.35,4400.0,4401.95,4182.5,-1.0
2023-09-01,MUTHOOTFIN,ATM,34.95,1250.0,1249.2,1218.1,-1.0
2023-09-01,TORNTPHARM,ATM,58.65,1800.0,1799.45,1865.3,0.10210970464134958
2023-09-01,INDIGO,ATM,70.45,2440.0,2448.3,2343.55,-1.0
2023-09-29,PFC,ATM,10.85,254.0,253.55,230.5,-1.0
2023-09-29,GODREJPROP,ATM,53.05,1560.0,1564.5,1576.05,-0.7008387698042878
2023-09-29,ABB,ATM,106.1,4150.0,4125.6,3952.4,-1.0
2023-09-29,ASHOKLEY,ATM,4.75,178.0,177.65,166.2,-1.0
2023-10-27,PNB,ATM,3.25,73.0,73.45,77.55,0.3207547169811311
2023-10-27,BANKBARODA,ATM,6.35,197.5,197.75,197.05,-1.0
2023-10-27,MPHASIS,ATM,70.0,2120.0,2129.35,2358.7,2.376237623762374
2023-10-27,TATAPOWER,ATM,6.0,240.0,239.1,268.05,3.410377358490568
2023-10-27,IDFCFIRSTB,ATM,2.75,87.0,86.65,85.0,-1.0
2023-12-01,CIPLA,ATM,30.4,1210.0,1210.9,1261.45,0.6596774193548404
2023-12-01,CHOLAFIN,ATM,30.8,1140.0,1136.05,1239.0,2.1528662420382165
2023-12-01,BALKRISIND,ATM,71.8,2580.0,2579.4,2527.15,-1.0
2023-12-01,BAJFINANCE,ATM,173.95,7300.0,7303.15,7268.75,-1.0
2023-12-29,ASHOKLEY,ATM,7.15,183.0,183.15,169.65,-1.0
2023-12-29,HDFCLIFE,ATM,21.05,650.0,652.4,579.15,-1.0
2023-12-29,DRREDDY,ATM,160.65,5850.0,5834.2,5840.45,-1.0
2024-01-29,MUTHOOTFIN,ATM,50.7,1400.0,1399.75,1306.9,-1.0
2024-01-29,IDFCFIRSTB,ATM,3.25,83.0,83.15,81.1,-1.0
2024-01-29,MPHASIS,ATM,124.25,2580.0,2587.95,2617.15,-0.7039663724923794
2024-01-29,FEDERALBNK,ATM,4.5,146.0,146.2,150.5,-0.05660377358490575
2024-01-29,HINDALCO,ATM,23.85,570.0,572.35,503.05,-1.0
2024-03-01,HINDALCO,ATM,18.8,520.0,521.25,560.25,1.0747422680412368
2024-03-01,RECLTD,ATM,19.9,460.0,459.9,450.75,-1.0
2024-03-01,PFC,ATM,18.15,415.0,415.85,390.5,-1.0
2024-03-01,APOLLOHOSP,ATM,213.35,6100.0,6123.15,6360.0,0.2065889035587412
2024-04-01,NMDC,ATM,8.65,212.5,213.65,252.8,3.395244846766279
2024-04-01,ACC,ATM,79.45,2560.0,2563.35,2573.15,-0.8361258404002755
2024-04-01,TATACONSUM,ATM,24.55,1100.0,1095.1,1106.1,-0.7574552683896656
2024-04-01,MPHASIS,ATM,98.05,2450.0,2472.85,2232.85,-1.0
2024-04-26,OFSS,ATM,359.95,7500.0,7534.95,7407.2,-1.0
