entry,sym,net,reason,gapfreq,hi52,beta,oi,win,sl
2019-05-31,DRREDDY,-0.06234168624380054,sl,15.0,-0.09110320284697515,-0.3241774518246758,3481250.0,False,True
2019-05-31,TECHM,-0.055004336114578445,sl,13.0,-0.09517298775413152,-0.05871769650236576,10596000.0,False,True
2019-06-28,DLF,0.02030492676431417,tp,46.0,-0.15141242937853105,1.9244731676368714,46303600.0,True,False
2019-06-28,BANKBARODA,0.026777777777777678,tp,37.0,-0.2121017058255551,2.115500929328466,65353500.0,True,False
2019-06-28,ACC,0.020814116895560564,tp,14.0,-0.11073873157431335,1.2692427602743146,2203200.0,True,False
2019-06-28,INDIGO,0.046678235650317146,tp,38.0,-0.07480686442177276,0.1947778594736121,2485200.0,True,False
2019-07-26,RECLTD,-0.054786270346780075,sl,42.0,-0.15867817802917528,1.1832163140214744,29694000.0,False,True
2019-07-26,BAJAJFINSV,0.033812497851716805,tp,21.0,-0.1520597373375847,1.6208550521486726,958875.0,True,False
2019-07-26,BAJFINANCE,0.022602693088655035,tp,27.0,-0.12360347342083777,1.6208528672321627,7500750.0,True,False
2019-07-26,TITAN,-0.060795863065666866,sl,10.0,-0.17355927142430583,0.7324330437346086,9074250.0,False,True
2019-07-26,PFC,-0.05241843971631199,sl,44.0,-0.17453347969264554,1.4852932590723182,42600200.0,False,True
2019-09-27,RELIANCE,0.03570212765957448,tp,13.0,-0.0700303865451204,0.713699048721799,53393500.0,True,False
2019-09-27,BHARTIARTL,0.048247800170309385,tp,25.0,-0.05638141154412757,0.7172587818478104,38552628.0,True,False
2019-09-27,POWERGRID,0.02240211373930545,tp,7.0,-0.06647874089734562,0.04324149362139955,29280000.0,True,False
2019-09-27,INFY,0.02290106369345135,tp,7.0,-0.07569296375266532,-0.03032011373833907,46611600.0,True,False
2019-11-01,ULTRACEMCO,0.0120323537148187,tp,12.0,-0.1374235533141508,1.5191921766490926,2445800.0,True,False
2019-11-01,ACC,-0.023363495546663282,expiry,11.0,-0.11988412053736253,1.6029054958098472,2517600.0,False,False
2019-11-01,ADANIPORTS,-0.05283199285075946,sl,21.0,-0.07727647543880323,1.193034910696992,15062500.0,False,True
2019-11-01,MARICO,-0.025254742547425435,expiry,7.0,-0.06818181818181823,0.10826203232838541,11650600.0,False,False
2019-11-29,TITAN,0.019516782556442513,tp,8.0,-0.15292321116928442,1.1326419911389418,10430250.0,True,False
2019-11-29,NMDC,0.02965693430656946,tp,32.0,-0.1361916771752838,1.5266029190110852,20778000.0,True,False
2019-11-29,SIEMENS,0.020317763671543365,tp,13.0,-0.12418242359376852,1.3855078426499912,2768150.0,True,False
2019-11-29,BRITANNIA,0.012545232273838747,tp,8.0,-0.49104876308672496,1.2961558650155984,2004000.0,True,False
