entry,sym,structure,prem,K,spot0,spot_exp,ret
2019-07-26,BAJFINANCE,OTM,91.95,3350.0,3275.05,3299.65,-1.0
2019-07-26,TITAN,OTM,33.45,1120.0,1107.1,1101.95,-1.0
2019-07-26,PFC,OTM,3.65,115.0,112.8,101.3,-1.0
2019-09-27,RELIANCE,OTM,36.5,1340.0,1316.0,1463.6,2.33153638814016
2019-09-27,BHARTIARTL,OTM,10.9,360.0,352.3,374.65,0.2739130434782589
2019-09-27,POWERGRID,OTM,6.25,202.5,198.7,198.25,-1.0
2019-09-27,INFY,OTM,20.25,800.0,780.3,685.6,-1.0
2019-11-01,ULTRACEMCO,OTM,101.6,4250.0,4181.9,4295.25,-0.559035627972246
2019-11-01,ACC,OTM,38.6,1580.0,1549.4,1514.75,-1.0
2019-11-01,ADANIPORTS,OTM,13.25,400.0,391.65,372.7,-1.0
2019-11-01,MARICO,OTM,8.05,375.0,369.0,360.05,-1.0
2019-11-29,TITAN,OTM,26.65,1180.0,1164.9,1191.8,-0.5669724770642218
2019-11-29,NMDC,OTM,3.4,105.0,102.75,126.3,4.910099889012208
2019-11-29,SIEMENS,OTM,34.1,1500.0,1472.95,1524.85,-0.28386167146974334
2019-11-29,BRITANNIA,OTM,45.7,3150.0,3067.5,3061.5,-1.0
2019-12-27,APOLLOHOSP,OTM,26.85,1460.0,1422.35,1695.2,7.568306010928964
2019-12-27,GODREJCP,OTM,13.35,710.0,693.65,684.85,-1.0
2019-12-27,EICHERMOT,OTM,456.55,23000.0,22379.3,20358.8,-1.0
2019-12-27,SUNPHARMA,OTM,9.0,440.0,427.95,441.6,-0.8322851153039809
2020-01-31,NMDC,OTM,4.5,117.5,114.55,95.75,-1.0
2020-01-31,EICHERMOT,OTM,764.85,20500.0,20302.4,17076.55,-1.0
2020-01-31,SBIN,OTM,11.95,325.0,320.35,321.8,-1.0
2020-01-31,BPCL,OTM,16.05,460.0,452.9,444.05,-1.0
2020-07-31,JUBLFOOD,OTM,65.65,1760.0,1729.3,2172.0,5.21356880547156
2020-07-31,TATAPOWER,OTM,2.4,50.0,48.8,61.6,3.559748427672956
2020-07-31,HEROMOTOCO,OTM,95.85,2750.0,2687.85,3147.7,3.1081103415505855
2020-07-31,BHARTIARTL,OTM,20.4,560.0,553.55,510.65,-1.0
2020-08-28,MUTHOOTFIN,OTM,50.7,1240.0,1214.65,1017.95,-1.0
2020-08-28,APOLLOHOSP,OTM,52.8,1700.0,1665.15,1941.65,3.5252808988764057
2020-08-28,BHARTIARTL,OTM,20.7,530.0,524.2,419.35,-1.0
2020-08-28,ULTRACEMCO,OTM,108.9,4150.0,4071.4,3773.7,-1.0
2020-09-25,JINDALSTEL,OTM,11.35,180.0,176.35,189.85,-0.1757322175732222
2020-09-25,TATAPOWER,OTM,2.45,54.0,53.2,52.1,-1.0
2020-09-25,AUROPHARMA,OTM,30.5,800.0,776.15,767.35,-1.0
2020-09-25,JSWSTEEL,OTM,11.75,275.0,269.4,307.4,1.623481781376516
2020-09-25,MUTHOOTFIN,OTM,44.15,1120.0,1089.6,1240.35,1.6893854748603332
2020-10-30,HEROMOTOCO,OTM,116.35,2850.0,2809.0,3027.4,0.5096137890540244
2020-10-30,BRITANNIA,OTM,80.1,3550.0,3482.15,3553.45,-0.957355286090409
2020-10-30,LUPIN,OTM,34.6,940.0,912.4,901.6,-1.0
2020-10-30,JUBLFOOD,OTM,63.7,2250.0,2181.65,2501.2,2.904440679546759
2020-10-30,TORNTPHARM,OTM,85.2,2600.0,2566.5,2613.7,-0.8407939385487866
2020-11-27,RELIANCE,OTM,60.15,2000.0,1942.3,1983.05,-1.0
2020-11-27,MUTHOOTFIN,OTM,50.4,1180.0,1150.65,1208.55,-0.44019607843137337
2020-11-27,LUPIN,OTM,36.45,920.0,897.8,976.75,0.5317139001349529
2020-11-27,CIPLA,OTM,25.25,760.0,747.8,818.55,1.264990328820114
2021-01-01,AMBUJACEM,OTM,8.2,258.0,251.65,248.3,-1.0
2021-01-01,M&M,OTM,24.6,750.0,736.45,766.3,-0.35317460317460503
2021-01-01,BPCL,OTM,15.65,390.0,384.1,384.3,-1.0
2021-01-01,ACC,OTM,51.4,1660.0,1635.1,1630.55,-1.0
2021-01-29,SAIL,OTM,3.15,59.0,57.6,73.05,3.2078466606768483
2021-01-29,NMDC,OTM,4.6,107.5,105.35,127.95,3.194011484823627
2021-01-29,GODREJPROP,OTM,64.85,1280.0,1259.45,1551.15,3.139789460827349
2021-01-29,BAJFINANCE,OTM,171.4,4900.0,4763.5,5538.4,2.687743336760745
2021-01-29,ASIANPAINT,OTM,70.65,2460.0,2418.95,2378.3,-1.0
2021-02-26,BALKRISIND,OTM,60.6,1600.0,1559.7,1599.6,-1.0
2021-02-26,TECHM,OTM,33.5,940.0,923.65,968.5,-0.1642228739002933
2021-02-26,ASIANPAINT,OTM,70.55,2340.0,2290.9,2400.25,-0.15445123534323663
2021-02-26,CIPLA,OTM,27.1,810.0,790.75,788.05,-1.0
2021-02-26,MARUTI,OTM,305.8,7000.0,6902.1,6796.9,-1.0
2021-03-26,BANKBARODA,OTM,3.8,73.0,71.35,66.75,-1.0
2021-03-26,PNB,OTM,2.05,37.0,36.2,35.0,-1.0
2021-03-26,IDFCFIRSTB,OTM,2.6,59.0,57.6,54.85,-1.0
2021-03-26,DLF,OTM,13.0,285.0,281.65,248.9,-1.0
2021-03-26,ASHOKLEY,OTM,4.75,117.5,114.65,115.15,-1.0
2021-04-30,DLF,OTM,10.15,255.0,248.2,282.8,1.586046511627908
2021-04-30,IDFCFIRSTB,OTM,2.6,55.0,54.25,57.9,0.05224963715529693
2021-04-30,BANKBARODA,OTM,3.45,68.0,67.05,83.7,3.2931364506426037
2021-04-30,M&M,OTM,28.35,770.0,757.25,825.9,0.9309153713298781
2021-04-30,PFC,OTM,3.2,112.0,108.9,117.3,0.562499999999999
2021-05-28,JINDALSTEL,OTM,17.85,410.0,398.2,386.3,-1.0
2021-05-28,CHOLAFIN,OTM,20.2,560.0,546.35,530.6,-1.0
2021-05-28,NAUKRI,OTM,171.2,4600.0,4492.6,4779.8,0.03983529194041018
2021-05-28,TATACONSUM,OTM,14.25,670.0,654.55,757.0,4.85858585858586
2021-06-25,ADANIPORTS,OTM,31.85,730.0,716.65,659.3,-1.0
2021-06-25,BHEL,OTM,2.85,67.0,65.6,60.2,-1.0
2021-06-25,AUROPHARMA,OTM,25.95,970.0,955.2,906.65,-1.0
2021-06-25,M&M,OTM,21.2,810.0,790.15,730.65,-1.0
2021-07-30,BHEL,OTM,3.3,61.0,59.5,52.0,-1.0
2021-07-30,ADANIENT,OTM,56.05,1460.0,1427.15,1473.8,-0.7563989408649611
2021-07-30,BANKBARODA,OTM,3.0,82.5,80.4,74.05,-1.0
2021-07-30,CIPLA,OTM,25.15,930.0,916.45,908.85,-1.0
2021-07-30,CHOLAFIN,OTM,17.9,490.0,477.55,530.4,1.1837837837837826
2021-08-27,SAIL,OTM,5.0,120.0,116.95,113.75,-1.0
2021-08-27,NMDC,OTM,5.3,155.0,153.0,143.05,-1.0
2021-08-27,JINDALSTEL,OTM,16.6,380.0,372.55,389.0,-0.4767441860465117
2021-08-27,BHEL,OTM,2.8,55.0,54.4,64.5,2.2008086253369274
2021-10-01,TATASTEEL,OTM,64.9,1320.0,1303.65,1296.95,-1.0
2021-10-01,APOLLOHOSP,OTM,210.0,4550.0,4467.15,4287.3,-1.0
2021-10-01,ADANIENT,OTM,67.25,1500.0,1465.95,1396.45,-1.0
2021-10-01,DIVISLAB,OTM,151.0,4950.0,4839.5,5107.6,0.03337486066487688
2021-10-01,GODREJCP,OTM,63.7,1040.0,1022.75,983.75,-1.0
2021-10-29,JUBLFOOD,OTM,134.8,3800.0,3706.7,3758.8,-1.0
2021-10-29,COFORGE,OTM,218.75,4900.0,4844.3,5500.55,1.7181895332390391
2021-10-29,TORNTPHARM,OTM,301.35,2920.0,2863.2,2986.9,-0.7801970341384559
2021-10-29,COALINDIA,OTM,5.1,167.5,164.55,158.3,-1.0
2021-10-29,PFC,OTM,4.65,135.0,133.2,123.65,-1.0
2021-11-26,BHEL,OTM,2.65,61.0,59.6,57.05,-1.0
2021-11-26,HINDALCO,OTM,15.15,430.0,418.45,450.65,0.3111111111111095
2021-11-26,COALINDIA,OTM,4.7,157.5,154.4,145.9,-1.0
2021-11-26,BALKRISIND,OTM,43.95,2220.0,2173.7,2266.45,0.0426487093153718
2021-11-26,KOTAKBANK,OTM,48.05,2000.0,1970.2,1755.4,-1.0
2021-12-31,BANKBARODA,OTM,2.55,84.0,82.3,103.15,6.084720680725123
2021-12-31,GODREJPROP,OTM,78.55,1900.0,1881.2,1611.9,-1.0
2021-12-31,APOLLOHOSP,OTM,181.2,5150.0,5041.55,4299.1,-1.0
2021-12-31,NAUKRI,OTM,159.4,5700.0,5589.5,4389.65,-1.0
2021-12-31,BAJAJFINSV,OTM,419.4,16750.0,16453.85,15345.55,-1.0
2022-01-28,BAJAJFINSV,OTM,628.3,15500.0,15238.65,15238.05,-1.0
2022-01-28,APOLLOHOSP,OTM,201.3,4600.0,4497.05,4375.5,-1.0
2022-01-28,MPHASIS,OTM,119.2,3100.0,3041.7,2945.7,-1.0
2022-01-28,VOLTAS,OTM,41.45,1160.0,1144.75,1189.5,-0.2984542211652795
2022-04-01,HINDALCO,OTM,22.55,580.0,572.85,487.5,-1.0
2022-04-01,MARUTI,OTM,189.6,7900.0,7716.4,7876.5,-1.0
2022-04-01,COALINDIA,OTM,6.35,190.0,187.25,189.85,-1.0
