entry,exit,sym,side,gross,net,reason,margin,rom
2019-03-29,2019-04-24,HINDUNILVR,1,0.023823409342742075,0.022823409342742074,tp,0.22,0.1037427697397367
2019-03-29,2019-04-02,TCS,1,0.03663258215030285,0.03563258215030285,tp,0.22,0.1619662825013766
2019-03-29,2019-04-10,BAJAJ-AUTO,1,0.021489697790275875,0.020489697790275874,tp,0.22,0.09313498995579943
2019-03-29,2019-04-25,NESTLEIND,1,-0.017270648950859058,-0.01827064895085906,expiry,0.22,-0.08304840432208663
2019-04-26,2019-05-08,JUBLFOOD,1,-0.05866439371479404,-0.05966439371479404,sl,0.22,-0.2712017896127002
2019-04-26,2019-05-09,TORNTPHARM,1,-0.05510988079769508,-0.05610988079769508,sl,0.22,-0.2550449127167958
2019-04-26,2019-05-14,POWERGRID,1,-0.05093555093555102,-0.05193555093555102,sl,0.22,-0.23607068607068646
2019-04-26,2019-05-07,PNB,1,-0.050590219224283306,-0.05159021922428331,sl,0.22,-0.23450099647401504
2019-04-26,2019-04-30,IOC,1,0.030136098509397025,0.029136098509397024,tp,0.22,0.1324368114063501
2019-05-31,2019-06-26,TECHM,1,-0.054004336114578444,-0.055004336114578445,sl,0.22,-0.2500197096117202
2019-05-31,2019-06-24,DRREDDY,1,-0.06134168624380054,-0.06234168624380054,sl,0.22,-0.28337130110818426
2019-05-31,2019-06-27,DIVISLAB,1,0.002537434997807342,0.0015374349978073418,expiry,0.22,0.006988340899124281
2019-05-31,2019-06-04,PNB,1,0.022881880024737233,0.021881880024737232,tp,0.22,0.09946309102153288
2019-05-31,2019-06-03,HCLTECH,1,0.020387685290763846,0.019387685290763845,tp,0.22,0.08812584223074475
2019-06-28,2019-07-03,BANKBARODA,1,0.02777777777777768,0.026777777777777678,tp,0.22,0.12171717171717127
2019-06-28,2019-07-15,ACC,1,0.021814116895560565,0.020814116895560564,tp,0.22,0.09460962225254801
2019-06-28,2019-07-04,INDIGO,1,0.04767823565031715,0.046678235650317146,tp,0.22,0.2121737984105325
2019-06-28,2019-07-04,RELIANCE,1,0.020237623762376256,0.019237623762376255,tp,0.22,0.08744374437443753
2019-07-26,2019-08-01,PFC,1,-0.05141843971631199,-0.05241843971631199,sl,0.22,-0.23826563507414542
2019-07-26,2019-08-05,TITAN,1,-0.059795863065666865,-0.060795863065666866,sl,0.22,-0.27634483211666755
2019-07-26,2019-08-09,BAJAJFINSV,1,0.034812497851716806,0.033812497851716805,tp,0.22,0.1536931720532582
2019-07-26,2019-08-05,RECLTD,1,-0.053786270346780074,-0.054786270346780075,sl,0.22,-0.24902850157627307
2019-07-26,2019-07-30,FEDERALBNK,1,-0.05067920585161978,-0.05167920585161978,sl,0.22,-0.23490548114372628
2019-09-27,2019-10-11,APOLLOHOSP,1,0.02672147995888996,0.02572147995888996,tp,0.22,0.11691581799495436
2019-09-27,2019-10-18,POWERGRID,1,0.023402113739305452,0.02240211373930545,tp,0.22,0.10182778972411569
2019-09-27,2019-09-30,INFY,1,0.023901063693451352,0.02290106369345135,tp,0.22,0.10409574406114251
2019-09-27,2019-09-30,BHARTIARTL,1,0.049247800170309386,0.048247800170309385,tp,0.22,0.21930818259231538
2019-11-01,2019-11-28,MARICO,1,-0.024254742547425434,-0.025254742547425435,expiry,0.22,-0.11479428430647926
