entry,exit,sym,side,gross,net,reason,margin,rom
2021-01-29,2021-02-01,SAIL,1,0.09548611111111116,0.09448611111111116,tp,0.22,0.42948232323232344
2021-01-29,2021-02-01,DLF,1,0.0993776740567871,0.0983776740567871,tp,0.22,0.44717124571266864
2021-01-29,2021-02-01,CHOLAFIN,1,0.12007055562555125,0.11907055562555124,tp,0.22,0.5412297982979603
2021-01-29,2021-02-01,BANKBARODA,1,0.08778346744696419,0.08678346744696419,tp,0.22,0.39447030657710996
2021-02-26,2021-03-01,ADANIENT,1,0.023069567296198912,0.02206956729619891,tp,0.22,0.10031621498272232
2021-02-26,2021-03-01,VEDL,1,0.03190978886756235,0.03090978886756235,tp,0.22,0.14049904030710159
2021-02-26,2021-03-02,IDFCFIRSTB,1,0.02472089314194581,0.02372089314194581,tp,0.22,0.10782224155429913
2021-02-26,2021-03-01,ADANIPORTS,1,0.02794323111993524,0.02694323111993524,tp,0.22,0.122469232363342
2021-02-26,2021-03-01,SAIL,1,0.024659312134977407,0.023659312134977406,tp,0.22,0.10754232788626093
2021-03-26,2021-03-31,ADANIENT,1,0.04381508124151101,0.04281508124151101,tp,0.22,0.19461400564323186
2021-03-26,2021-04-05,IDFCFIRSTB,1,-0.06336805555555558,-0.06436805555555558,sl,0.22,-0.2925820707070708
2021-03-26,2021-03-31,GRASIM,1,0.031170393433342714,0.030170393433342713,tp,0.22,0.1371381519697396
2021-03-26,2021-04-01,ADANIPORTS,1,0.046225614927905,0.045225614927905,tp,0.22,0.20557097694502272
2021-03-26,2021-04-01,CHOLAFIN,1,0.022464814146517353,0.021464814146517353,tp,0.22,0.09756733702962433
2021-04-30,2021-05-03,ADANIENT,1,0.0846067994505495,0.0836067994505495,tp,0.22,0.3800309065934068
2021-04-30,2021-05-03,SAIL,1,0.06691604322527023,0.06591604322527023,tp,0.22,0.29961837829668286
2021-04-30,2021-05-07,JSWSTEEL,1,0.053302834962223544,0.05230283496222354,tp,0.22,0.23774015891919792
2021-04-30,2021-05-03,TATASTEEL,1,0.03015704788515272,0.02915704788515272,tp,0.22,0.13253203584160328
2021-04-30,2021-05-06,JINDALSTEL,1,0.04206608774106235,0.04106608774106235,tp,0.22,0.18666403518664706
2021-05-28,2021-05-31,SAIL,1,0.04722792607802884,0.046227926078028836,tp,0.22,0.2101269367183129
2021-05-28,2021-06-04,BHEL,1,0.026243093922651894,0.025243093922651894,tp,0.22,0.11474133601205407
2021-05-28,2021-05-31,JSWSTEEL,1,0.029981981981981987,0.028981981981981986,tp,0.22,0.13173628173628174
2021-05-28,2021-06-01,ADANIENT,1,0.08867145696376699,0.08767145696376699,tp,0.22,0.39850662256257724
2021-05-28,2021-05-31,TATASTEEL,1,0.021593687998892497,0.020593687998892496,tp,0.22,0.09360767272223862
2021-06-25,2021-07-02,SAIL,1,-0.05791067373202119,-0.05891067373202119,sl,0.22,-0.2677757896910054
2021-06-25,2021-07-07,TATASTEEL,1,0.04552241989845984,0.04452241989845984,tp,0.22,0.20237463590209018
2021-06-25,2021-07-02,ADANIENT,1,-0.06637863315003922,-0.06737863315003922,sl,0.22,-0.3062665143183601
2021-06-25,2021-07-13,JSWSTEEL,1,0.022262640960349245,0.021262640960349244,tp,0.22,0.09664836800158748
2021-06-25,2021-07-01,COFORGE,1,0.023132301170623704,0.022132301170623703,tp,0.22,0.10060136895738046
2021-07-30,2021-08-04,COFORGE,1,-0.0647285671907446,-0.0657285671907446,sl,0.22,-0.29876621450338453
2021-07-30,2021-08-03,GODREJCP,1,0.027504911591355707,0.026504911591355707,tp,0.22,0.12047687086979866
2021-07-30,2021-08-16,TATASTEEL,1,0.054301000555864176,0.053301000555864175,tp,0.22,0.24227727525392806
2021-07-30,2021-08-02,DLF,1,0.042186571598336275,0.041186571598336275,tp,0.22,0.1872116890833467
2021-07-30,2021-08-04,MUTHOOTFIN,1,0.022190912293060805,0.021190912293060804,tp,0.22,0.09632232860482183
2021-08-27,2021-08-31,APOLLOHOSP,1,0.03998285254231959,0.03898285254231959,tp,0.22,0.17719478428327087
2021-08-27,2021-09-15,OFSS,1,0.02084138204675745,0.01984138204675745,tp,0.22,0.09018810021253386
2021-08-27,2021-08-31,COFORGE,1,0.028803101721100788,0.027803101721100787,tp,0.22,0.12637773509591266
2021-08-27,2021-09-22,TECHM,1,0.045327730513553544,0.04432773051355354,tp,0.22,0.2014896841525161
2021-08-27,2021-08-30,BAJAJFINSV,1,0.021867592252941437,0.020867592252941436,tp,0.22,0.09485269205882471
2021-10-01,2021-10-04,GODREJPROP,1,0.04609778453421565,0.045097784534215646,tp,0.22,0.2049899297009802
2021-10-01,2021-10-04,DLF,1,0.02046433700335082,0.019464337003350818,tp,0.22,0.08847425910614008
2021-10-01,2021-10-04,BAJAJFINSV,1,0.03787327232382398,0.03687327232382398,tp,0.22,0.167605783290109
2021-10-01,2021-10-04,HAVELLS,1,0.02085012825210697,0.01985012825210697,tp,0.22,0.09022785569139531
2021-10-01,2021-10-04,OFSS,1,0.023569581648213322,0.02256958164821332,tp,0.22,0.10258900749187873
2021-10-29,2021-11-01,TATAPOWER,1,0.04152168870331696,0.04052168870331696,tp,0.22,0.18418949410598617
2021-10-29,2021-11-24,OFSS,1,-0.06165590135055787,-0.06265590135055787,sl,0.22,-0.2847995515934449
2021-10-29,2021-11-01,GODREJPROP,1,0.052135342368045734,0.05113534236804573,tp,0.22,0.23243337440020786
2021-10-29,2021-11-02,TITAN,1,0.02887747431721377,0.02787747431721377,tp,0.22,0.12671579235097166
2021-10-29,2021-11-12,INDIGO,1,0.058757553561618714,0.05775755356161871,tp,0.22,0.26253433437099416
2021-11-26,2021-12-20,TATAPOWER,1,-0.07900528169014076,-0.08000528169014076,sl,0.22,-0.3636603713188216
2021-11-26,2021-12-01,GODREJPROP,1,-0.05694451071138895,-0.05794451071138895,sl,0.22,-0.2633841395972225
2021-11-26,2021-12-10,OFSS,1,0.03285369409852512,0.03185369409852512,tp,0.22,0.14478951862965964
2021-11-26,2021-12-20,ONGC,1,-0.08899456521739124,-0.08999456521739124,sl,0.22,-0.40906620553359657
2021-12-31,2022-01-04,TATAPOWER,1,0.02159730033745788,0.02059730033745788,tp,0.22,0.09362409244299036
2021-12-31,2022-01-06,TECHM,1,-0.055558640604175924,-0.056558640604175925,sl,0.22,-0.25708473001898147
2021-12-31,2022-01-03,VEDL,1,0.03586005830903782,0.03486005830903782,tp,0.22,0.15845481049562646
2021-12-31,2022-01-10,ADANIENT,1,0.023722999098758635,0.022722999098758634,tp,0.22,0.10328635953981197
2022-01-28,2022-02-01,ADANIENT,1,0.03396671085579617,0.032966710855796166,tp,0.22,0.1498486857081644
2022-01-28,2022-02-09,MARUTI,1,0.04080799836768012,0.03980799836768012,tp,0.22,0.18094544712581873
2022-01-28,2022-01-31,POWERGRID,1,0.022311891763588942,0.02131189176358894,tp,0.22,0.09687223528904064
2022-01-28,2022-02-01,TATAPOWER,1,0.02386294105649589,0.02286294105649589,tp,0.22,0.10392245934770859
2022-04-01,2022-04-06,BANKBARODA,1,0.034320034320034276,0.033320034320034275,tp,0.22,0.15145470145470125
2022-04-01,2022-04-04,JINDALSTEL,1,0.028673163418290848,0.027673163418290847,tp,0.22,0.12578710644677657
2022-04-01,2022-04-08,CHOLAFIN,1,0.04818769317223959,0.047187693172239586,tp,0.22,0.21448951441927086
2022-04-01,2022-04-12,BANDHANBNK,1,0.040248640248640166,0.039248640248640165,tp,0.22,0.17840291022109167
2022-04-01,2022-04-06,COALINDIA,1,0.04058744993324437,0.03958744993324437,tp,0.22,0.17994295424201986
2022-07-29,2022-08-01,M&M,1,0.06403077580679639,0.06303077580679639,tp,0.22,0.28650352639452903
2022-07-29,2022-08-11,EICHERMOT,1,0.02508217691921577,0.02408217691921577,tp,0.22,0.10946444054188986
2022-07-29,2022-08-01,SIEMENS,1,0.023049972340033253,0.022049972340033253,tp,0.22,0.10022714700015115
2022-07-29,2022-08-25,SBILIFE,1,-0.0027283556853554547,-0.0037283556853554547,expiry,0.22,-0.016947071297070248
2022-08-26,2022-09-01,ADANIENT,1,0.02991547690651819,0.02891547690651819,tp,0.22,0.13143398593871905
2022-08-26,2022-09-05,IDFCFIRSTB,1,0.05035971223021596,0.04935971223021596,tp,0.22,0.22436232831916345
2022-08-26,2022-08-30,M&M,1,0.02493668420027273,0.02393668420027273,tp,0.22,0.10880311000123967
2022-08-26,2022-09-01,BANKBARODA,1,0.03917765709852583,0.03817765709852583,tp,0.22,0.17353480499329924
2022-08-26,2022-08-30,FEDERALBNK,1,0.028846153846153744,0.027846153846153743,tp,0.22,0.1265734265734261
2022-09-30,2022-10-04,IDFCFIRSTB,1,0.06779661016949157,0.06679661016949157,tp,0.22,0.30362095531587074
2022-09-30,2022-10-03,ADANIENT,1,-0.08880920493656497,-0.08980920493656497,sl,0.22,-0.40822365880256806
2022-09-30,2022-10-04,INDUSINDBK,1,0.02628485052065832,0.02528485052065832,tp,0.22,0.11493113873026509
2022-09-30,2022-10-03,AMBUJACEM,1,-0.05438241249638398,-0.05538241249638398,sl,0.22,-0.25173823861992717
