entry,exit,sym,cycle,net,reason
2019-10-16,2019-10-31,PIDILITIND,2019-10-31,0.023237542562149716,tp
2019-10-23,2019-10-31,POWERGRID,2019-10-31,-0.04141626331074533,expiry
2019-10-23,2019-10-31,DRREDDY,2019-10-31,-0.014728681621965833,expiry
2019-11-01,2019-11-11,PIDILITIND,2019-11-28,-0.05480108602457845,sl
2019-11-01,2019-11-13,ADANIPORTS,2019-11-28,-0.05283199285075946,sl
2019-11-14,2019-11-19,INDIGO,2019-11-28,-0.05840838386501457,sl
2019-11-20,2019-11-21,APOLLOHOSP,2019-11-28,0.021407485577599528,tp
2019-11-01,2019-11-28,MARICO,2019-11-28,-0.025254742547425435,expiry
2019-11-01,2019-11-28,ACC,2019-11-28,-0.023363495546663282,expiry
2019-11-01,2019-11-28,ULTRACEMCO,2019-11-28,0.026104904469260393,tp
2019-11-13,2019-11-28,TITAN,2019-11-28,0.0023132530120481007,expiry
2019-11-29,2019-12-02,NMDC,2019-12-26,0.02965693430656946,tp
2019-11-29,2019-12-05,TITAN,2019-12-26,0.019516782556442513,tp
2019-12-06,2019-12-09,BPCL,2019-12-26,0.02288973966309349,tp
2019-11-29,2019-12-12,ASIANPAINT,2019-12-26,0.024067928828118146,tp
2019-12-10,2019-12-13,BAJFINANCE,2019-12-26,0.021999160706009158,tp
2019-11-29,2019-12-18,SIEMENS,2019-12-26,0.020317763671543365,tp
2019-12-03,2019-12-18,HINDUNILVR,2019-12-26,-0.05321612080800153,sl
2019-11-29,2019-12-20,BRITANNIA,2019-12-26,0.019537897310513475,tp
2019-12-13,2019-12-20,GODREJCP,2019-12-26,0.04425288376220038,tp
2019-12-16,2019-12-26,VOLTAS,2019-12-26,-0.04528938670583915,expiry
2019-12-27,2019-12-30,EICHERMOT,2020-01-30,0.02288591242800264,tp
2019-12-27,2020-01-02,SUNPHARMA,2020-01-30,0.021198855006426043,tp
2019-12-27,2020-01-03,VOLTAS,2020-01-30,0.019965643890121565,tp
2019-12-27,2020-01-07,GODREJCP,2020-01-30,0.02502176890362595,tp
2020-01-06,2020-01-09,VOLTAS,2020-01-30,0.050169927119294244,tp
2020-01-08,2020-01-09,BPCL,2020-01-30,0.02022360584732008,tp
2019-12-27,2020-01-14,HINDUNILVR,2020-01-30,0.025144790153658003,tp
2020-01-10,2020-01-16,EICHERMOT,2020-01-30,0.0489998782687876,tp
2020-01-15,2020-01-17,RELIANCE,2020-01-30,0.03326201130091133,tp
2020-01-10,2020-01-28,BPCL,2020-01-30,0.02014097524699887,tp
2019-12-31,2020-01-30,LUPIN,2020-01-30,-0.052201876099276845,sl
2020-01-03,2020-01-30,BAJAJ-AUTO,2020-01-30,0.019612208520361052,tp
2020-01-17,2020-01-30,SBIN,2020-01-30,-0.029012519561815275,expiry
2020-01-20,2020-01-30,KOTAKBANK,2020-01-30,0.003783950617283983,expiry
2020-01-31,2020-02-03,NMDC,2020-02-27,-0.12583631601920553,sl
2020-01-31,2020-02-04,TATASTEEL,2020-02-27,0.02555771195097034,tp
2020-01-31,2020-02-04,BPCL,2020-02-27,0.04006866858026059,tp
2020-02-04,2020-02-05,JSWSTEEL,2020-02-27,0.041622950819672266,tp
2020-01-31,2020-02-06,RELIANCE,2020-02-27,0.025398336446621594,tp
2020-01-31,2020-02-10,EICHERMOT,2020-02-27,-0.05850305382614862,sl
2020-02-07,2020-02-12,RELIANCE,2020-02-27,0.022086016271469222,tp
2020-02-05,2020-02-14,NMDC,2020-02-27,-0.07252682255845944,sl
2020-02-13,2020-02-17,SAIL,2020-02-27,-0.05496475770925102,sl
2020-02-05,2020-02-19,SUNPHARMA,2020-02-27,-0.051563115908024426,sl
2020-02-17,2020-02-19,DLF,2020-02-27,0.03212911277513053,tp
2020-02-06,2020-02-24,MARUTI,2020-02-27,-0.08214147088866186,sl
2020-02-11,2020-02-24,TATASTEEL,2020-02-27,-0.0699616505943037,sl
2020-02-18,2020-02-27,SIEMENS,2020-02-27,-0.034503772303071445,expiry
2020-07-31,2020-08-04,JUBLFOOD,2020-08-27,0.043179725900653554,tp
2020-07-31,2020-08-04,TATAPOWER,2020-08-27,0.022565573770491842,tp
2020-08-05,2020-08-10,TATAPOWER,2020-08-27,0.0487461928934011,tp
2020-08-05,2020-08-12,HEROMOTOCO,2020-08-27,0.024601327066629763,tp
2020-07-31,2020-08-13,GODREJCP,2020-08-27,0.023821929635225447,tp
2020-07-31,2020-08-17,BHARTIARTL,2020-08-27,-0.0558279288230511,sl
2020-07-31,2020-08-27,NESTLEIND,2020-08-27,-0.030771132537228962,expiry
2020-08-11,2020-08-27,HINDUNILVR,2020-08-27,-0.02175781795258569,expiry
2020-08-13,2020-08-27,TCS,2020-08-27,-0.009299487903937753,expiry
2020-08-14,2020-08-27,GODREJCP,2020-08-27,-0.008301401869158842,expiry
2020-08-18,2020-08-27,BHARTIARTL,2020-08-27,-0.03340170535291331,expiry
2020-08-28,2020-08-31,MUTHOOTFIN,2020-09-24,-0.05307261351006465,sl
2020-08-28,2020-08-31,ACC,2020-09-24,-0.05601837513825947,sl
2020-08-28,2020-09-01,BHARTIARTL,2020-09-24,0.045833269744372296,tp
2020-08-28,2020-09-03,WIPRO,2020-09-24,0.03737018088799571,tp
2020-08-28,2020-09-03,APOLLOHOSP,2020-09-24,0.01971885415728314,tp
2020-09-01,2020-09-07,MUTHOOTFIN,2020-09-24,-0.05907723629505812,sl
2020-09-08,2020-09-09,CIPLA,2020-09-24,0.028163144547760033,tp
2020-09-04,2020-09-11,TORNTPHARM,2020-09-24,0.024609580147164967,tp
2020-09-10,2020-09-11,BALKRISIND,2020-09-24,0.029660284052696162,tp
2020-09-02,2020-09-15,DRREDDY,2020-09-24,0.01901189278199611,tp
2020-09-04,2020-09-15,AMBUJACEM,2020-09-24,0.03716793893129766,tp
2020-09-14,2020-09-15,CIPLA,2020-09-24,0.028995162070633573,tp
2020-09-14,2020-09-21,MUTHOOTFIN,2020-09-24,-0.07353771073646853,sl
2020-09-16,2020-09-21,JINDALSTEL,2020-09-24,-0.13666958698372966,sl
2020-09-16,2020-09-21,TATASTEEL,2020-09-24,-0.08161538461538465,sl
2020-09-16,2020-09-21,SAIL,2020-09-24,-0.07822513089005245,sl
2020-09-01,2020-09-24,AUROPHARMA,2020-09-24,-0.09853131460537512,sl
2020-09-25,2020-09-28,JINDALSTEL,2020-10-29,0.04464785937057003,tp
2020-09-25,2020-09-28,TATAPOWER,2020-10-29,0.02155639097744355,tp
2020-09-25,2020-09-28,AUROPHARMA,2020-10-29,0.03707253752496309,tp
2020-09-25,2020-09-28,MARUTI,2020-10-29,0.03349784004849321,tp
2020-09-25,2020-09-29,MUTHOOTFIN,2020-10-29,0.03878524229074898,tp
2020-09-29,2020-09-30,SAIL,2020-10-29,-0.05267597765363108,sl
2020-09-29,2020-10-05,TATASTEEL,2020-10-29,0.031049555615405233,tp
2020-09-29,2020-10-05,JINDALSTEL,2020-10-29,0.023333419622055263,tp
2020-09-30,2020-10-05,HINDALCO,2020-10-29,0.024348903446311465,tp
2020-10-01,2020-10-06,DIVISLAB,2020-10-29,0.02663990267639893,tp
2020-09-29,2020-10-07,TATAPOWER,2020-10-29,0.04058964879852123,tp
2020-10-06,2020-10-09,TATACONSUM,2020-10-29,-0.06899842550679003,sl
2020-10-08,2020-10-09,VEDL,2020-10-29,0.027776978417266007,tp
2020-10-12,2020-10-14,TATACONSUM,2020-10-29,0.029716007967292346,tp
2020-10-06,2020-10-15,JINDALSTEL,2020-10-29,-0.05820882503848135,sl
2020-10-06,2020-10-16,TATASTEEL,2020-10-29,0.040793012524719896,tp
2020-10-07,2020-10-16,HINDALCO,2020-10-29,0.038159228332853234,tp
2020-10-19,2020-10-23,M&M,2020-10-29,0.042706731170239265,tp
2020-10-12,2020-10-26,HDFCLIFE,2020-10-29,0.025955133888987514,tp
2020-10-16,2020-10-26,RELIANCE,2020-10-29,-0.06757646087514901,sl
2020-10-15,2020-10-27,TATACONSUM,2020-10-29,0.04963291139240511,tp
2020-10-19,2020-10-29,JUBLFOOD,2020-10-29,-0.01580332409972307,expiry
2020-10-30,2020-11-03,HEROMOTOCO,2020-11-26,0.04351762192951225,tp
2020-10-30,2020-11-03,LUPIN,2020-11-26,0.027660675142481383,tp
2020-10-30,2020-11-04,BALKRISIND,2020-11-26,0.0220975228743584,tp
2020-11-04,2020-11-05,RELIANCE,2020-11-26,0.01974483333767696,tp
2020-10-30,2020-11-09,BRITANNIA,2020-11-26,0.022247131800755215,tp
2020-11-06,2020-11-10,LUPIN,2020-11-26,-0.06271161374510659,sl
2020-11-05,2020-11-11,HEROMOTOCO,2020-11-26,0.035000474359191514,tp
2020-11-10,2020-11-11,CIPLA,2020-11-26,0.03294418992086634,tp
2020-10-30,2020-11-12,TORNTPHARM,2020-11-26,0.019728618741476578,tp
2020-11-04,2020-11-20,GODREJCP,2020-11-26,0.028513505556782115,tp
2020-11-11,2020-11-26,LUPIN,2020-11-26,-0.012566080140327784,expiry
2020-11-12,2020-11-26,RELIANCE,2020-11-26,-0.02055953338696692,expiry
2020-11-12,2020-11-26,BRITANNIA,2020-11-26,0.008416811067238572,expiry
2020-11-13,2020-11-26,HEROMOTOCO,2020-11-26,-0.030461738210496025,expiry
2020-11-27,2020-12-02,LUPIN,2020-12-31,0.020496992648696977,tp
2020-11-27,2020-12-03,MUTHOOTFIN,2020-12-31,0.030069395559031764,tp
2020-11-27,2020-12-03,CIPLA,2020-12-31,0.02240197913880715,tp
2020-12-03,2020-12-07,LUPIN,2020-12-31,0.05176586504532865,tp
2020-11-27,2020-12-08,RELIANCE,2020-12-31,0.03130705864181638,tp
2020-12-04,2020-12-08,MUTHOOTFIN,2020-12-31,0.019386493947759598,tp
2020-11-27,2020-12-10,DABUR,2020-12-31,0.02754017501988859,tp
2020-12-08,2020-12-14,CIPLA,2020-12-31,0.0281091430059911,tp
2020-12-09,2020-12-16,MUTHOOTFIN,2020-12-31,0.024716323362839465,tp
2020-12-11,2020-12-18,ACC,2020-12-31,0.020248956110234917,tp
2020-12-04,2020-12-21,AMBUJACEM,2020-12-31,-0.07076744186046513,sl
2020-12-21,2020-12-22,INDIGO,2020-12-31,0.04326987983889763,tp
2020-12-22,2020-12-24,AMBUJACEM,2020-12-31,0.03898316498316501,tp
2020-12-23,2020-12-24,ACC,2020-12-31,0.02185876885137039,tp
2020-12-15,2020-12-28,DABUR,2020-12-31,0.019147229755908435,tp
2020-12-17,2020-12-28,AXISBANK,2020-12-31,0.02010121991427616,tp
2020-12-09,2020-12-31,RELIANCE,2020-12-31,-0.02580944184902878,expiry
2021-01-01,2021-01-05,BALKRISIND,2021-01-28,0.019515151515151374,tp
2021-01-01,2021-01-06,ACC,2021-01-28,0.028539477707785532,tp
2021-01-01,2021-01-06,AMBUJACEM,2021-01-28,0.0415193721438506,tp
2021-01-01,2021-01-06,POWERGRID,2021-01-28,0.03257817418677866,tp
2021-01-06,2021-01-07,BANDHANBNK,2021-01-28,0.024954390827768624,tp
2021-01-01,2021-01-08,M&M,2021-01-28,0.04618582388485304,tp
2021-01-07,2021-01-08,HEROMOTOCO,2021-01-28,0.037317818277173065,tp
2021-01-07,2021-01-12,PNB,2021-01-28,0.025610644257702986,tp
2021-01-07,2021-01-12,RELIANCE,2021-01-28,0.019542424006032788,tp
2021-01-11,2021-01-12,BANKBARODA,2021-01-28,0.10725545171339557,tp
2021-01-11,2021-01-13,ITC,2021-01-28,0.04300196656833821,tp
2021-01-08,2021-01-14,BRITANNIA,2021-01-28,0.027717891413964968,tp
2021-01-13,2021-01-18,BANDHANBNK,2021-01-28,-0.05682813950404464,sl
2021-01-13,2021-01-21,INDIGO,2021-01-28,0.020713311203825024,tp
2021-01-14,2021-01-21,BAJAJFINSV,2021-01-28,0.03334586226340941,tp
2021-01-15,2021-01-21,BAJFINANCE,2021-01-28,0.04712125168291792,tp
2021-01-19,2021-01-21,BANDHANBNK,2021-01-28,-0.06569780219780219,sl
2021-01-13,2021-01-22,PNB,2021-01-28,-0.06078260869565211,sl
2021-01-29,2021-02-01,SAIL,2021-02-25,0.09448611111111116,tp
2021-01-29,2021-02-01,KOTAKBANK,2021-02-25,0.04754904236796287,tp
2021-01-29,2021-02-01,DIVISLAB,2021-02-25,0.025547106365406136,tp
2021-01-29,2021-02-01,BAJFINANCE,2021-02-25,0.0676260102865539,tp
2021-01-29,2021-02-02,ASIANPAINT,2021-02-25,0.020248888980756052,tp
2021-02-02,2021-02-03,SAIL,2021-02-25,0.041253521126760506,tp
2021-02-02,2021-02-03,DIVISLAB,2021-02-25,0.03808643710470838,tp
2021-02-02,2021-02-03,NTPC,2021-02-25,0.02432327586206895,tp
2021-02-02,2021-02-04,BANDHANBNK,2021-02-25,0.019239326340670826,tp
2021-02-03,2021-02-05,DRREDDY,2021-02-25,0.030150776624045306,tp
2021-02-04,2021-02-08,SAIL,2021-02-25,0.045224961479198744,tp
2021-02-04,2021-02-08,NAUKRI,2021-02-25,0.05014367553655197,tp
2021-02-04,2021-02-09,ASIANPAINT,2021-02-25,0.038537146287441204,tp
2021-02-09,2021-02-10,NAUKRI,2021-02-25,0.032943136446379806,tp
2021-02-05,2021-02-12,BANDHANBNK,2021-02-25,0.026794653705953908,tp
2021-02-09,2021-02-15,SAIL,2021-02-25,-0.06201190476190477,sl
2021-02-11,2021-02-16,NMDC,2021-02-25,0.02011746590409136,tp
2021-02-08,2021-02-17,DRREDDY,2021-02-25,-0.05179433586123261,sl
2021-02-15,2021-02-17,COALINDIA,2021-02-25,0.025465028355387553,tp
2021-02-16,2021-02-18,SAIL,2021-02-25,0.03295061728395077,tp
2021-02-10,2021-02-22,ASIANPAINT,2021-02-25,-0.05147130414031742,sl
2021-02-17,2021-02-23,GODREJCP,2021-02-25,-0.05720933130278261,sl
2021-02-18,2021-02-25,DRREDDY,2021-02-25,-0.031015763674447694,expiry
2021-02-18,2021-02-25,TCS,2021-02-25,-0.02425657250962232,expiry
2021-02-26,2021-03-01,AUROPHARMA,2021-03-25,0.019620353159851223,tp
2021-02-26,2021-03-01,BALKRISIND,2021-03-25,0.021696672437007014,tp
2021-02-26,2021-03-02,MARUTI,2021-03-25,0.04728240680372642,tp
2021-02-26,2021-03-02,TCS,2021-03-25,0.037948092127879085,tp
2021-02-26,2021-03-02,BAJAJ-AUTO,2021-03-25,0.03510816751049883,tp
2021-03-02,2021-03-15,AUROPHARMA,2021-03-25,-0.05858308496879039,sl
2021-03-03,2021-03-15,BAJAJ-AUTO,2021-03-25,-0.061345377732964,sl
2021-03-03,2021-03-17,GODREJCP,2021-03-25,-0.05787304742970756,sl
2021-03-16,2021-03-18,NAUKRI,2021-03-25,-0.07200518263352262,sl
2021-03-02,2021-03-25,BHARTIARTL,2021-03-25,-0.06850551065393096,sl
2021-03-03,2021-03-25,MARUTI,2021-03-25,-0.053736470948949955,sl
2021-03-16,2021-03-25,BAJAJ-AUTO,2021-03-25,-0.04803560002722751,expiry
2021-03-18,2021-03-25,HAVELLS,2021-03-25,-0.0045967726256440624,expiry
2021-03-26,2021-03-31,BANKBARODA,2021-04-29,0.04384933426769455,tp
2021-03-26,2021-03-31,DLF,2021-04-29,0.02349849103497259,tp
2021-03-26,2021-04-01,PNB,2021-04-29,0.05839226519337004,tp
2021-03-26,2021-04-01,SBIN,2021-04-29,0.03535354516442346,tp
2021-03-26,2021-04-01,INDUSINDBK,2021-04-29,0.04149557337777321,tp
2021-04-01,2021-04-05,NAUKRI,2021-04-29,0.03396593093005651,tp
2021-04-05,2021-04-07,IDFCFIRSTB,2021-04-29,0.06480166821130673,tp
2021-04-05,2021-04-07,ASHOKLEY,2021-04-29,0.027960070206230703,tp
2021-04-01,2021-04-12,COALINDIA,2021-04-29,-0.06260781367392931,sl
2021-04-05,2021-04-12,INDUSINDBK,2021-04-29,-0.10181888758906732,sl
2021-04-06,2021-04-12,PFC,2021-04-29,-0.08556843940714909,sl
2021-04-08,2021-04-12,IDFCFIRSTB,2021-04-29,-0.1060308914386584,sl
2021-04-08,2021-04-12,FEDERALBNK,2021-04-29,-0.08848403575989772,sl
