day,ticker,dir,instrument,entry_time,entry,alpha_z,breadth,target_pct,stop_pct,outcome,exit,pnl_pct
2026-04-27,AMBUJACEM,LONG,CALL,12:35,466.0,1.38,2,1,0.5,LOSS,463.67,-0.5
2026-05-05,M&M,LONG,CALL,12:35,3148.2,0.97,2,1,0.5,LOSS,3132.46,-0.5
2026-05-06,BHEL,LONG,CALL,11:55,383.45,1.64,2,1,0.5,LOSS,381.53,-0.5
2026-05-06,DMART,LONG,CALL,12:40,4431.0,1.1,2,1,0.5,LOSS,4408.85,-0.5
2026-05-07,BHEL,LONG,CALL,12:00,403.8,1.44,2,1,0.5,WIN,407.84,1
2026-05-07,HEROMOTOCO,LONG,CALL,12:10,5430.0,0.88,2,1,0.5,LOSS,5402.85,-0.5
2026-05-07,ASHOKLEY,LONG,CALL,12:40,171.8,0.94,2,1,0.5,LOSS,170.94,-0.5
2026-05-12,GODREJPROP,SHORT,PUT,12:35,1737.7,-0.82,2,1,0.5,WIN,1720.32,1
2026-05-12,BANKBARODA,SHORT,PUT,12:45,260.6,-0.97,2,1,0.5,FORCED,260.7,-0.04
2026-05-18,KOTAKBANK,LONG,CALL,12:55,389.85,1.01,2,1,0.5,FORCED,391.45,0.41
2026-05-20,SIEMENS,LONG,CALL,12:25,3637.6,0.84,2,1,0.5,WIN,3673.98,1
2026-05-22,NESTLEIND,LONG,CALL,12:50,1433.3,1.06,2,1,0.5,LOSS,1426.13,-0.5
2026-05-22,BANDHANBNK,LONG,CALL,12:55,194.98,0.8,2,1,0.5,LOSS,194.01,-0.5
2026-05-22,ASHOKLEY,LONG,CALL,13:00,157.1,0.76,2,1,0.5,WIN,158.67,1
2026-05-27,ABB,LONG,CALL,12:50,7166.5,0.78,2,1,0.5,WIN,7238.16,1
2026-05-27,SIEMENS,LONG,CALL,13:00,3843.4,1.0,2,1,0.5,WIN,3881.83,1
2026-05-29,NMDC,SHORT,PUT,13:00,89.91,-0.84,2,1,0.5,WIN,89.01,1
2026-06-02,TRENT,LONG,CALL,12:40,2816.5,1.19,2,1,0.5,LOSS,2802.42,-0.5
2026-06-02,FEDERALBNK,LONG,CALL,12:55,292.5,1.08,2,1,0.5,FORCED,293.8,0.44
2026-06-09,INDIGO,LONG,CALL,12:00,4525.1,1.03,2,1,0.5,LOSS,4502.47,-0.5
2026-06-09,EICHERMOT,LONG,CALL,12:35,7240.5,1.1,2,1,0.5,LOSS,7204.3,-0.5
2026-06-11,HDFCBANK,LONG,CALL,12:10,754.45,0.96,2,1,0.5,LOSS,750.68,-0.5
