date,idx,opt_type,strike,expiry,dte,lot,instrument_key,spot_1515,entry_1515,p_1530,p_1536,p_close,hi_window,lo_window,pnl_1530,pnl_1536,pnl_close,vol_1515_1530,vol_post_1530,last_print,src,recorded_at
2026-08-07,NIFTY,PE,24550.0,2026-08-11,4,65,NSE_FO|41014,24557.0,82.7,81.4,77.5,82.25,86.5,75.05,-84.5,-338.0,-29.25,9846200.0,4170855.0,15:39:00,intraday,2026-08-07T16:20:05+05:30
2026-08-07,SENSEX,CE,78500.0,2026-08-13,6,20,BSE_FO|847642,78491.26,586.95,573.0,577.1,581.9,609.0,560.65,-279.0,-197.0,-101.0,623700.0,257540.0,15:39:00,intraday,2026-08-07T16:20:05+05:30
2026-08-07,SENSEX,PE,78500.0,2026-08-13,6,20,BSE_FO|841676,78491.26,385.4,379.8,367.45,383.4,398.0,357.25,-112.0,-359.0,-40.0,826560.0,312980.0,15:39:00,intraday,2026-08-07T16:20:05+05:30
2026-08-10,NIFTY,CE,24550.0,2026-08-11,1,65,NSE_FO|41013,24560.15,110.8,106.8,104.25,100.75,113.8,99.25,-260.0,-425.75,-653.25,7225725.0,3172130.0,15:39:00,intraday,2026-08-10T16:20:06+05:30
2026-08-10,NIFTY,PE,24550.0,2026-08-11,1,65,NSE_FO|41014,24560.15,52.85,48.2,51.95,53.1,54.95,45.95,-302.25,-58.5,16.25,14876745.0,6621940.0,15:39:00,intraday,2026-08-10T16:20:06+05:30
2026-08-10,SENSEX,CE,78500.0,2026-08-13,3,20,BSE_FO|847642,78478.66,507.0,498.75,485.55,477.15,515.0,475.0,-165.0,-429.0,-597.0,465900.0,155960.0,15:39:00,intraday,2026-08-10T16:20:06+05:30
2026-08-10,SENSEX,PE,78500.0,2026-08-13,3,20,BSE_FO|841676,78478.66,321.8,318.0,327.7,329.85,335.0,308.65,-76.0,118.0,161.0,655160.0,304100.0,15:39:00,intraday,2026-08-10T16:20:06+05:30
2026-08-11,NIFTY,CE,24450.0,2026-08-11,0,65,NSE_FO|41009,24450.25,42.9,21.7,21.65,21.6,48.0,9.3,-1378.0,-1381.25,-1384.5,146621215.0,15765620.0,15:39:00,intraday,2026-08-11T15:54:48+05:30
2026-08-11,NIFTY,PE,24450.0,2026-08-11,0,65,NSE_FO|41010,24450.25,14.35,0.15,0.05,0.05,19.5,0.05,-923.0,-929.5,-929.5,239115240.0,28139020.0,15:39:00,intraday,2026-08-11T15:54:49+05:30
2026-08-11,SENSEX,CE,78100.0,2026-08-13,2,20,BSE_FO|846716,78148.22,427.45,394.35,383.25,378.65,431.7,370.15,-662.0,-884.0,-976.0,380620.0,166960.0,15:39:00,intraday,2026-08-11T16:26:48+05:30
2026-08-11,SENSEX,PE,78100.0,2026-08-13,2,20,BSE_FO|848275,78148.22,221.9,232.0,239.85,246.8,248.45,217.15,202.0,359.0,498.0,555360.0,295280.0,15:39:00,intraday,2026-08-11T16:26:48+05:30
2026-08-12,NIFTY,CE,24350.0,2026-08-18,6,65,NSE_FO|45104,24361.7,175.8,177.05,177.5,177.95,178.9,169.2,81.25,110.5,139.75,1852500.0,640315.0,15:39:00,intraday,2026-08-12T16:20:05+05:30
2026-08-12,NIFTY,PE,24350.0,2026-08-18,6,65,NSE_FO|45105,24361.7,84.35,79.75,81.5,81.0,86.4,79.35,-299.0,-185.25,-217.75,3335605.0,1179815.0,15:39:00,intraday,2026-08-12T16:20:05+05:30
2026-08-12,SENSEX,CE,77900.0,2026-08-13,1,20,BSE_FO|844195,77889.97,266.05,275.6,286.95,284.8,289.15,242.05,191.0,418.0,375.0,2053500.0,651240.0,15:39:00,intraday,2026-08-12T16:20:06+05:30
2026-08-12,SENSEX,PE,77900.0,2026-08-13,1,20,BSE_FO|845797,77889.97,171.5,151.35,159.35,157.15,179.5,145.8,-403.0,-243.0,-287.0,2630440.0,948760.0,15:39:00,intraday,2026-08-12T16:20:06+05:30
2026-08-13,SENSEX,CE,77900.0,2026-08-13,0,20,BSE_FO|844195,77861.48,50.9,179.6,180.0,179.75,180.55,8.35,2574.0,2582.0,2577.0,73549800.0,1943960.0,15:39:00,intraday,2026-08-13T17:23:19+05:30
2026-08-13,SENSEX,PE,77900.0,2026-08-13,0,20,BSE_FO|845797,77861.48,84.4,0.1,0.05,0.05,109.05,0.05,-1686.0,-1687.0,-1687.0,65845480.0,4180380.0,15:39:00,intraday,2026-08-13T17:23:19+05:30
2026-08-14,NIFTY,CE,24350.0,2026-08-18,4,65,NSE_FO|45104,24354.85,127.75,125.95,126.35,125.25,129.7,122.25,-117.0,-91.0,-162.5,4660760.0,2718235.0,15:39:00,intraday,2026-08-14T16:20:02+05:30
2026-08-14,NIFTY,PE,24350.0,2026-08-18,4,65,NSE_FO|45105,24354.85,51.2,51.2,53.55,54.4,54.85,47.75,0.0,152.75,208.0,10400455.0,5607225.0,15:39:00,intraday,2026-08-14T16:20:02+05:30
2026-08-14,SENSEX,CE,77900.0,2026-08-20,6,20,BSE_FO|854746,77931.1,543.5,542.25,536.15,526.75,553.35,525.5,-25.0,-147.0,-335.0,158640.0,81440.0,15:39:00,intraday,2026-08-14T16:20:03+05:30
2026-08-14,SENSEX,PE,77900.0,2026-08-20,6,20,BSE_FO|855306,77931.1,274.55,275.8,281.15,288.0,288.0,264.05,25.0,132.0,269.0,369620.0,196580.0,15:39:00,intraday,2026-08-14T16:20:03+05:30
2026-08-17,NIFTY,CE,24350.0,2026-08-18,1,65,NSE_FO|45104,24339.8,73.7,57.8,52.15,49.0,75.5,48.35,-1033.5,-1400.75,-1605.5,15806700.0,8426405.0,15:39:00,intraday,2026-08-17T16:20:07+05:30
2026-08-17,NIFTY,PE,24350.0,2026-08-18,1,65,NSE_FO|45105,24339.8,46.05,57.15,60.6,60.5,62.0,44.85,721.5,945.75,939.25,23475595.0,11094135.0,15:39:00,intraday,2026-08-17T16:20:07+05:30
2026-08-17,SENSEX,CE,77800.0,2026-08-20,3,20,BSE_FO|855344,77844.43,456.8,406.75,388.15,372.2,467.25,370.0,-1001.0,-1373.0,-1692.0,445400.0,216260.0,15:39:00,intraday,2026-08-17T16:20:07+05:30
2026-08-17,SENSEX,PE,77800.0,2026-08-20,3,20,BSE_FO|855516,77844.43,229.85,245.6,255.55,253.6,260.0,223.15,315.0,514.0,475.0,862480.0,438280.0,15:39:00,intraday,2026-08-17T16:20:07+05:30
2026-08-18,NIFTY,CE,24150.0,2026-08-18,0,65,NSE_FO|45096,24166.35,50.75,4.95,4.85,4.85,78.05,4.8,-2977.0,-2983.5,-2983.5,113863620.0,32456060.0,15:39:00,intraday,2026-08-18T16:20:07+05:30
2026-08-18,NIFTY,PE,24150.0,2026-08-18,0,65,NSE_FO|45097,24166.35,7.85,0.25,0.05,0.05,26.0,0.05,-494.0,-507.0,-507.0,275119780.0,36536630.0,15:39:00,intraday,2026-08-18T16:20:07+05:30
2026-08-18,SENSEX,CE,77300.0,2026-08-20,2,20,BSE_FO|855441,77325.87,361.05,342.55,323.85,287.65,373.25,277.2,-370.0,-744.0,-1468.0,459960.0,326280.0,15:39:00,intraday,2026-08-18T16:20:08+05:30
2026-08-18,SENSEX,PE,77300.0,2026-08-20,2,20,BSE_FO|854766,77325.87,191.85,192.9,219.2,236.35,242.0,183.85,21.0,547.0,890.0,878920.0,947140.0,15:39:00,intraday,2026-08-18T16:20:08+05:30
2026-08-19,NIFTY,CE,24050.0,2026-08-25,6,65,NSE_FO|61605,24048.55,152.15,154.65,153.05,150.35,160.45,147.05,162.5,58.5,-117.0,2898025.0,1091285.0,15:39:00,intraday,2026-08-19T16:20:04+05:30
2026-08-19,NIFTY,PE,24050.0,2026-08-25,6,65,NSE_FO|61609,24048.55,88.55,85.05,87.0,88.25,91.7,81.85,-227.5,-100.75,-19.5,3854175.0,1944865.0,15:39:00,intraday,2026-08-19T16:20:04+05:30
2026-08-19,SENSEX,CE,76900.0,2026-08-20,1,20,BSE_FO|855068,76908.05,248.55,235.8,234.3,212.8,271.95,204.8,-255.0,-285.0,-715.0,2634900.0,1289180.0,15:39:00,intraday,2026-08-19T16:20:04+05:30
2026-08-19,SENSEX,PE,76900.0,2026-08-20,1,20,BSE_FO|855258,76908.05,145.6,145.95,147.0,152.55,165.65,133.5,7.0,28.0,139.0,4604500.0,2452300.0,15:39:00,intraday,2026-08-19T16:20:04+05:30
2026-08-20,NIFTY,CE,24200.0,2026-08-25,5,65,NSE_FO|61647,24211.6,153.65,150.0,145.7,150.75,157.95,145.0,-237.25,-516.75,-188.5,3976830.0,2260375.0,15:39:00,intraday,2026-08-20T16:20:06+05:30
2026-08-20,NIFTY,PE,24200.0,2026-08-25,5,65,NSE_FO|61670,24211.6,55.05,57.05,57.45,57.65,59.0,53.65,130.0,156.0,169.0,8804445.0,5612360.0,15:39:00,intraday,2026-08-20T16:20:07+05:30
2026-08-20,SENSEX,CE,77500.0,2026-08-20,0,20,BSE_FO|855489,77485.29,72.45,38.0,37.6,37.65,91.95,25.0,-689.0,-697.0,-696.0,69813000.0,10173780.0,15:39:00,intraday,2026-08-20T16:20:07+05:30
2026-08-20,SENSEX,PE,77500.0,2026-08-20,0,20,BSE_FO|854809,77485.29,67.0,0.4,0.1,0.05,83.2,0.05,-1332.0,-1338.0,-1339.0,84957480.0,27837500.0,15:39:00,intraday,2026-08-20T16:20:07+05:30
